objectid,filename,title,creator,date,subject,notes,condition,format original,format,type,identifier,language,rights,rightsstatement
TEES_2000_001_021,TEES_2000_001_021.jpg,LA Women's Community Chorus,June L Mazer Lesbian Archives,,"Music,LA Women's Community Chorus",handwritten on collar Sharon Seigal,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_022,TEES_2000_001_022.jpg,17th 1992 Michigan Women's Music Festival,June L Mazer Lesbian Archives,1993,"Music,Michigan Womyn's Music Festivall",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_023,TEES_2000_001_023.jpg,Wise Women's Enterprises Urana Records,June L Mazer Lesbian Archives,,"Music,Urana Records",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_024,TEES_2000_001_024.jpg,5th annual West Coast Women's Music and Comedy Festival 1984,June L Mazer Lesbian Archives,1985,"Music,West Coast Women's Music and Comedy Festival",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_025,TEES_2000_001_025.jpg,21st Michigan Womyn's Music Festival,June L Mazer Lesbian Archives,1997,"Music,Michigan Womyn's Music Festivall",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_026,TEES_2000_001_026.jpg,12th Annual West Coast Women's Music and Comedy Festival '91,June L Mazer Lesbian Archives,1992,"Music,West Coast Women's Music and Comedy Festival",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_027,TEES_2000_001_027.jpg,Fire in the Rain Holly Near National Tour 1981,June L Mazer Lesbian Archives,1982,"Music,Holly Near",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_028,TEES_2000_001_028.jpg,"2nd Annual Rhythm Fest Women's Music, Art and Politics",June L Mazer Lesbian Archives,,"Music,Rhythm Fest",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_029,TEES_2000_001_029.jpg,San Diego Pride Orgullo Mundial July 26-28 2002,June L Mazer Lesbian Archives,2002,"Pride,Latinx,San Diego","Front and back graphics
",good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_030,TEES_2000_001_030.jpg,Midwest Wimmin's Festival Ten years of building community 1974-1983,June L Mazer Lesbian Archives,1984,"Music,Festival,Midwest Wimmin's Festival",,,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_031,TEES_2000_001_031.jpg,"Dark Star Productions, Inc PO Box 67 Charlottesville VA 22906",June L Mazer Lesbian Archives,,Music,,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_032,TEES_2000_001_032.jpg,4th Annual West Coast Women's Music and Comedy Festival '83,June L Mazer Lesbian Archives,1983,"Music,West Coast Women's Music and Comedy Festival",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_033,TEES_2000_001_033.jpg,The 5th Annual Michigan Womyn's Music Festival August 1980,June L Mazer Lesbian Archives,1980,"Music,Michigan Womyn's Music Festivall",,Faded,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_034,TEES_2000_001_034.jpg,Michigan Womyn's Festival '91,June L Mazer Lesbian Archives,1991,"Music,Michigan Womyn's Music Festivall",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_035,TEES_2000_001_035.jpg,First Annual West Coast Women's Music and Cultural Festival 1980,June L Mazer Lesbian Archives,1980,"Music,West Coast Women's Music and Comedy Festival",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_037,TEES_2000_001_037.jpg,"""Knock knock can you hear me through the closet door?"" Jane Chamber's Last Summer at Bluefish Cove",June L Mazer Lesbian Archives,,"Films,Theater","Front and back graphics
",Faded,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_038,TEES_2000_001_038.jpg,10th Annual West Coast Women's Music and Culture Festival 1989,June L Mazer Lesbian Archives,1990,"Music,West Coast Women's Music and Comedy Festival",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
TEES_2000_001_039,TEES_2000_001_039.jpg,Judy Fjell says I've got a middle-aged body with teenage emotions,June L Mazer Lesbian Archives,,"Music,Judy Fjelll",,good,T-Shirt,,,,,,"Property rights to the physical objects belong to the June L. Mazer Lesbian Archives. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or heir for permission to publish where the June L. Mazer Lesbian Archives do not hold the copyright."
